# Imaginary frequencies extracted from TS Gaussian log files
# Transition structure were taken from the Grambow dataset: https://www.nature.com/articles/s41597-020-0460-4
# The rxn_id corresponds to the original dataset identifier used in the Grambow study.
# ts_id  frequency (cm^-1)  rxn_id
ts_001  -576.8798  rxn000003
ts_002  -1759.4287  rxn000028
ts_003  -1831.9624  rxn000059
ts_004  -1625.2305  rxn000068
ts_005  -1509.1908  rxn000073
ts_006  -1064.8760  rxn000075
ts_007  -1244.6441  rxn000090
ts_008  -1685.2406  rxn000101
ts_009  -1596.2450  rxn000106
ts_010  -424.9053  rxn000117
ts_011  -1100.5315  rxn000129
ts_012  -770.2052  rxn000153
ts_013  -2029.3194  rxn000160
ts_014  -413.4195  rxn000164
ts_015  -889.3667  rxn000175
ts_016  -1003.8074  rxn000179
ts_017  -530.9476  rxn000191
ts_018  -280.4834  rxn000196
ts_019  -1823.2135  rxn000204
ts_020  -1437.7053  rxn000214
ts_021  -1078.7430  rxn000219
ts_022  -970.2798  rxn000226
ts_023  -839.1680  rxn000243
ts_024  -900.3719  rxn000244
ts_025  -666.2699  rxn000253
ts_026  -628.8998  rxn000258
ts_027  -253.4512  rxn000267
ts_028  -2058.9029  rxn000273
ts_029  -301.2964  rxn000288
ts_030  -1297.0591  rxn000304
ts_031  -969.9369  rxn000306
ts_032  -387.3506  rxn000312
ts_033  -1571.9943  rxn000333
ts_034  -1035.6206  rxn000336
ts_035  -446.6344  rxn000339
ts_036  -886.5718  rxn000348
ts_037  -1407.0705  rxn000355
ts_038  -1088.1237  rxn000356
ts_039  -686.1336  rxn000366
ts_040  -953.8938  rxn000368
ts_041  -1259.6610  rxn000375
ts_042  -355.4556  rxn000381
ts_043  -1711.8856  rxn000385
ts_044  -656.3968  rxn000405
ts_045  -838.5864  rxn000423
ts_046  -322.0853  rxn000424
ts_047  -829.3516  rxn000436
ts_048  -465.8135  rxn000453
ts_049  -1664.3345  rxn000469
ts_050  -1370.9762  rxn000473
ts_051  -432.6492  rxn000482
ts_052  -921.0626  rxn000504
ts_053  -843.3117  rxn000508
ts_054  -1437.6565  rxn000516
ts_055  -361.3218  rxn000521
ts_056  -326.1793  rxn000543
ts_057  -1968.4360  rxn000544
ts_058  -850.4610  rxn000556
ts_059  -757.5444  rxn000559
ts_060  -595.9504  rxn000571
ts_061  -1370.6364  rxn000575
ts_062  -1324.7387  rxn000593
ts_063  -350.5231  rxn000603
ts_064  -896.0913  rxn000604
ts_065  -2407.8041  rxn000605
ts_066  -518.5382  rxn000615
ts_067  -1827.3784  rxn000618
ts_068  -1289.0639  rxn000643
ts_069  -834.1244  rxn000693
ts_070  -1157.6679  rxn000695
ts_071  -1088.5601  rxn000700
ts_072  -494.5051  rxn000705
ts_073  -1368.5738  rxn000709
ts_074  -549.4119  rxn000714
ts_075  -851.4622  rxn000725
ts_076  -384.1870  rxn000732
ts_077  -520.0686  rxn000744
ts_078  -1056.0371  rxn000758
ts_079  -1266.4705  rxn000759
ts_080  -520.5747  rxn000771
ts_081  -336.7510  rxn000827
ts_082  -1236.1863  rxn000843
ts_083  -1516.8538  rxn000871
ts_084  -893.1236  rxn000872
ts_085  -1522.9145  rxn000878
ts_086  -903.9866  rxn000886
ts_087  -1543.0955  rxn000893
ts_088  -1897.8941  rxn000901
ts_089  -1177.5363  rxn000903
ts_090  -760.2006  rxn000909
ts_091  -885.8919  rxn000924
ts_092  -1280.2506  rxn000927
ts_093  -496.6296  rxn000930
ts_094  -363.6033  rxn000937
ts_095  -1624.8571  rxn000954
ts_096  -497.5716  rxn000955
ts_097  -1726.1456  rxn000956
ts_098  -1690.9477  rxn000959
ts_099  -476.9430  rxn000986
ts_101  -1597.7636  rxn001014
ts_102  -652.4703  rxn001015
ts_103  -1614.0505  rxn001029
ts_104  -2063.3570  rxn001039
ts_105  -375.7989  rxn001061
ts_106  -2283.2883  rxn001065
ts_107  -612.2894  rxn001084
ts_108  -1356.6587  rxn001101
ts_109  -1152.6118  rxn001106
ts_110  -906.1621  rxn001114
ts_111  -1120.2590  rxn001115
ts_112  -1160.7535  rxn001117
ts_113  -1820.4712  rxn001137
ts_114  -506.2294  rxn001146
ts_115  -1071.6427  rxn001151
ts_116  -524.8270  rxn001157
ts_117  -853.0810  rxn001181
ts_118  -1020.4222  rxn001185
ts_119  -673.4296  rxn001190
ts_120  -836.3269  rxn001192
ts_121  -1033.7529  rxn001193
ts_122  -580.6042  rxn001198
ts_123  -238.1515  rxn001207
ts_124  -185.9501  rxn001209
ts_125  -1571.5064  rxn001210
ts_126  -2059.0610  rxn001217
ts_127  -407.7612  rxn001224
ts_128  -1182.8392  rxn001226
ts_129  -1069.2858  rxn001237
ts_130  -804.7416  rxn001239
ts_131  -1151.5102  rxn001248
ts_132  -1135.4782  rxn001258
ts_133  -982.1146  rxn001259
ts_134  -2285.5128  rxn001266
ts_135  -688.7706  rxn001270
ts_136  -1178.5852  rxn001280
ts_137  -986.5920  rxn001287
ts_138  -677.4798  rxn001298
ts_139  -1369.8381  rxn001301
ts_140  -705.8652  rxn001312
ts_141  -2003.8166  rxn001320
ts_142  -622.4318  rxn001328
ts_143  -1141.3067  rxn001335
ts_144  -2470.2125  rxn001336
ts_145  -1331.3197  rxn001341
ts_146  -2005.0320  rxn001343
ts_147  -122.6575  rxn001349
ts_148  -2130.1209  rxn001387
ts_149  -442.7677  rxn001389
ts_150  -578.0646  rxn001401
ts_151  -1527.9705  rxn001426
ts_152  -1060.8559  rxn001429
ts_153  -641.3615  rxn001447
ts_154  -670.7166  rxn001455
ts_156  -537.3268  rxn001457
ts_157  -363.7866  rxn001478
ts_158  -199.7443  rxn001482
ts_159  -1666.0380  rxn001483
ts_160  -1322.3110  rxn001485
ts_161  -2141.6794  rxn001504
ts_162  -2023.6617  rxn001505
ts_163  -692.5275  rxn001506
ts_164  -422.8511  rxn001507
ts_165  -500.9656  rxn001536
ts_166  -885.8067  rxn001540
ts_167  -1027.9484  rxn001554
ts_168  -2226.8390  rxn001568
ts_169  -1173.6827  rxn001576
ts_170  -1188.1415  rxn001581
ts_171  -368.6201  rxn001587
ts_172  -931.7214  rxn001589
ts_173  -1318.4167  rxn001590
ts_174  -561.3364  rxn001598
ts_175  -2118.6005  rxn001614
ts_176  -2019.5542  rxn001623
ts_177  -612.4172  rxn001628
ts_178  -1072.8102  rxn001630
ts_179  -2180.3009  rxn001634
ts_180  -583.4502  rxn001639
ts_182  -464.5256  rxn001644
ts_184  -803.1935  rxn001680
ts_185  -515.7004  rxn001689
ts_186  -575.6263  rxn001697
ts_187  -846.9066  rxn001731
ts_188  -561.1983  rxn001732
ts_189  -460.2185  rxn001754
ts_190  -530.8134  rxn001763
ts_191  -1716.9966  rxn001778
ts_192  -677.8765  rxn001793
ts_193  -723.5080  rxn001796
ts_194  -1276.0925  rxn001800
ts_195  -2228.1646  rxn001820
ts_196  -1438.7669  rxn001822
ts_197  -878.4176  rxn001832
ts_198  -642.7760  rxn001836
ts_199  -696.1113  rxn001846
ts_200  -521.3712  rxn001849
ts_201  -1765.2455  rxn001850
ts_202  -1369.2167  rxn001852
ts_203  -374.9701  rxn001866
ts_204  -858.9937  rxn001873
ts_205  -602.6357  rxn001875
ts_206  -593.4516  rxn001883
ts_207  -328.5479  rxn001884
ts_208  -492.9051  rxn001889
ts_209  -828.3195  rxn001907
ts_210  -1394.4615  rxn001917
ts_211  -1646.1069  rxn001929
ts_212  -307.6434  rxn001937
ts_213  -863.6702  rxn001946
ts_214  -1506.2256  rxn001947
ts_215  -855.9073  rxn001949
ts_216  -910.8280  rxn001953
ts_217  -317.7406  rxn001961
ts_218  -644.6711  rxn001962
ts_219  -338.3365  rxn001963
ts_220  -445.0289  rxn001986
ts_221  -610.0778  rxn001987
ts_222  -334.9297  rxn002003
ts_223  -1738.4774  rxn002015
ts_224  -969.0164  rxn002024
ts_225  -1159.5858  rxn002041
ts_226  -394.0139  rxn002042
ts_227  -434.3521  rxn002046
ts_228  -1008.8097  rxn002048
ts_229  -329.9439  rxn002051
ts_230  -431.8996  rxn002072
ts_231  -601.0681  rxn002073
ts_232  -1214.7483  rxn002075
